源码,运行判定,实际任务,实际退出码,范围与局限,候选源码SHA256,实测源码SHA256
production_provenance.py,通过（完整原tinyfixture自检）,provenance,0,10项合同与故障注入检查，含真实exit0/exit7子进程；不冒充PDE计算。,4d0a9081eabbc9b0ac729dda22d8f626dc3411910b37124ce053b51029d4ec8d,4d0a9081eabbc9b0ac729dda22d8f626dc3411910b37124ce053b51029d4ec8d
run_modeling.py,失败（缺少原要求的输入）,production_missing_inputs,1,实际exit1：缺paper_output/plan/model_route.json；未删掉要求或虚造路由。,eab2be6bd8fd5b64823b2a6aafe5c7b4439e90ad782d4defe8d9b2d911a69963,eab2be6bd8fd5b64823b2a6aafe5c7b4439e90ad782d4defe8d9b2d911a69963
export_outputs.py,通过（原Q1 selfcheck）,export_selfcheck,0,原N40 Q1解导出后回读79244个工作簿格、84正文CSV格，live Run校验PASS。,1b9c358f5219bf522ac9f5fe7a4f62b0395c419127c614103957643d98b4f7e2,1b9c358f5219bf522ac9f5fe7a4f62b0395c419127c614103957643d98b4f7e2
publication_plots.py,生成完成（原selfcheck）,plot_selfcheck,0,三条N40解及4个真实图件已生成，内部状态GENERATED_PENDING_VISUAL_REVIEW；未宣称图像逐页视觉通过。,dac6c1197faf496c6b09cab833e510a092ca615e2d9b2df4d49165a521d2a944,dac6c1197faf496c6b09cab833e510a092ca615e2d9b2df4d49165a521d2a944
axisymmetric_check.py,小网格运行完成,axisymmetric,0,原入口nr6/nz4/end-faces off；2D与1D事件差-1.898558063354964e-7h；不把此小网格当原30×30精度验收。,666db958b1c300db3adc207e8069347540af1f75e41c4d984b255004d85105e9,666db958b1c300db3adc207e8069347540af1f75e41c4d984b255004d85105e9
crossvalidate_series.py,运行完成，但旧M-K算法负例失败,series,0,显式附带Q23参考NPZ与两CSV；常数序列被旧sequential_mk报告伪趋势，不恢复该方法结论。,870c3d2fc2af4a223441ba588a7383e1a87185bfc876bb229676b16092affb73,1dd2d782a4f0350e164851131d0aed7c4e64019af811b6efa91ae40179767cc6
crossvalidate_solver.py,通过（Q1 N20函数级实算）,crossvalidate_solver_pair,0,runCase分别使用BDF/Radau真实求解；原8/12/10条N800以上默认长批次未运行。,103f88dc6a07b2bf1d38ba954bad09ecd540d364ca05177f73e1307f4baf764a,463c0dedd2cf2c48645a164c4fad7621650b287933fcb662165c19a0e9226210
threshold_and_scaling_checks.py,通过（原标度入口及N20阈值函数）,threshold_full_small,0,Q23/Q4实际二分事件差8.73e-11/5.82e-11s，严格核验均成立；静态越域可能本次未触发，未列实际失败。,73a8d8cfd3bcebc218ac25a7cb30e443500c6d05f57263a11f862ec023b87e6d,288a318d286c7fb9165f77427839b4362d576c9e7ddd2f496a3041bb1a1737fe
method_comparison.py,通过（完整原quick入口）,method_quick,0,8条Q1真解；变量D两通量差N100=1.4891388507853875e-5，N200=3.728809559122581e-6，观察阶1.99769，原1e-4门槛通过。,e5def0b0d4a8a45089decedaf5512c932158fd7647503dbdaecbf076888890c5,6fccbd683b2e6ee1a02391cee152c024db091aa379e3eeb8c1f9662c87692fb4
latent_heat_scenarios.py,通过（完整事件单情景函数）,latent_single,0,Q23 N20潜热比例.25，真实事件和热湿采样；原8条N800情景并未全部运行。,f0e6141adb7573c940ce2ff65827cbf7ee1ea1c861362b227c14ea54b92966e6,a76a55a37f17194da571731e50328ad0dbe027d3c5656dfbbf43b2d3dfdf73d7
sensitivity_analysis.py,通过（原N200 control函数）,sensitivity_control,0,真实两条N200对照事件差6.614868652832229e-7s；未运行Morris 362条或Sobol。,f0d85de0fc394c4b33f9b5c8a8310de10c405d4f7a87e4229c9d1e64556d49e1,d47a71fbad559790f28b74a1209e0da1fb26fa1d471db9f49b76ab799f3b9ce3
isotherm_activity_closure.py,部分通过、原采样接口失败,isotherm_extract,1,"p1恒等式与三题RHS差0；真实Run.fields为时间×空间，原_extract C[1,i]在第三时点IndexError。",0dcf39af6938c0e28bb7ff927fa38c6793798582b5d35cabe3ff988ba07881ec,0256441383aae4237ff7000c7062cc213cf2f15366d718172f0da8cd03bf50ae
isotherm_diagnose.py,失败（原历史接口不匹配）,isotherm_old_interface,1,实际TypeError：ActivityModel构造函数不接受B；也不能擅把B=4.2解释为p=4.2。,2d535c6102130600251586aeb8c1bcd3bee9a0edbb9490c5559b070acff1a602,f4b72edecad1801ca3ad4ff8c4cf1421462001241e89dd4242fb5f344dca493e
isotherm_jacobian_probe.py,计算完成、注入诊断失败,isotherm_probe,1,N8/3.6s实际BDF计算成功，但numJacCalls=0，不能把未被调用的替代Jacobian声称为成功。,e6f0a302e64506d9942eff851900517defb7afc8ffd1fc53d2106de985cfbbee,b0c7ee616e1f91f2623c624258477b55ac80189ed84d8ccf3afe6085b25fe4a4
energy_balance_diagnose.py,原入口运行完成,energy_diagnose,0,N50/1h真实诊断；原打印关系是用于查错的历史量，不称能量守恒证明。,9e2ccf793b50ba8cacb23632616bf6ce10bc4ad230ce2b4a4e61cb4f6d5ce298,b5a5817437e62b1ed042b089e092fc66286c051d69b5654e29b709f9c018a510
energy_balance_diagnose2.py,原入口运行完成,energy_diagnose2,0,Q23/Q4 N100各1h，2001/20001/200001点三种积分密度；大累计残差仍存在，符合其诊断作用。,5c0d49f5a215e81c41b33368a6e3e41daff2dbcdde98ff89ac3f6f57a6201556,6f2e3e4b02c053b63aa41e7aff9ab7a3b62fd56b318906cee4a3c53d0269c4ce
energy_balance_check.py,通过（Q1 N20函数级检查）,energy_q1,0,瞬时率最大相对偏差4.44e-16，累计残差2.3854515166021883e-4<原1e-3门槛；未扩大到Q23/Q4累计能量。,9f5be13254369b4400585f64e846ffefb3e9a0c3ff530f63afc662d13c8c4e9a,efb3ce293a57955eef0d220eb20233cd443e3913eb27a8779ea7784056d79cae
analytic_metric_check.py,运行完成，但静态解释不符合输出,analytic_metric,0,N800→6400点值/单元平均最大差0.00205117→0.00025647K，逐次减半；原interpretation却称不随细化减少。,a1f193c0d18ad707f8301a06df083b5cf7b6d810de44b49de4cabdf3d086d394,ac4cddaf7454e84c3e4352f049865ffcb37aec1ced28b4396eafcc47204d8ffd
runCrossCheck.m,未执行（需独立MATLAB环境）,matlab_pending,未执行,原相对层级推导失配且05缺CSV；MATLAB GUI运行由根代理另行记录，不用Python结果代替。,0132b3bed4a6b43347deb0be102fd85bf077f6a116760f267037cd3e665874aa,
compareMatlab.mjs,失败（隔离权限/历史输入缺失）,node_failure,2,Node --permission实际旧入口exit2；仅修ROOT后仍exit2，缺runSummary.json等历史MATLAB/Python证据。,967fd3cb232b7e0f775728035ea51783fd1f5cd2e61e8533354e939151491d59,
